play_id,time_to_throw,pressure_applied,time_to_pressure,down,distance,field_position,score_diff,quarter,def_alignment,rushers,completion,yards_gained,sack,interception,time_bucket
24,2.42,1,2.61,1,10.2,45.35027073123625,-17.651210852192303,1,Nickel,5,0,0.0,0,0,Normal (2.0-2.5s)
25,3.52,1,0.86,2,1.2,37.83569551144462,-4.7647784115405525,1,Nickel,3,0,0.0,0,0,Very Long (>3.0s)
26,2.37,0,3.44,2,5.1,93.46147095737209,-14.25793870746916,2,Dime,4,0,0.0,0,0,Normal (2.0-2.5s)
27,1.9,1,1.04,1,14.5,80.14467228923412,-21.169817608483086,4,4-3 Base,4,0,0.0,0,0,Quick (<2.0s)
28,1.63,1,0.56,2,15.4,48.17180791584374,3.0174768174155013,4,Blitz,4,0,0.0,0,0,Quick (<2.0s)
29,1.42,0,0.17,3,36.3,84.13417634778212,-17.693614013366435,1,Nickel,4,1,12.1,0,0,Quick (<2.0s)
30,4.3,0,1.48,1,17.0,36.28876528249671,9.494956552807336,1,Nickel,4,1,2.0,0,0,Very Long (>3.0s)
31,2.65,0,0.24,1,16.1,75.7245491501238,14.411855668059204,2,Blitz,6,1,3.4,0,0,Extended (2.5-3.0s)
32,1.52,1,0.73,1,10.9,25.130803829580827,-14.429897287624563,4,Blitz,4,0,0.0,0,0,Quick (<2.0s)
33,1.17,0,1.72,3,19.3,74.50898407037293,2.886656165459601,3,Nickel,4,0,0.0,0,0,Quick (<2.0s)
34,3.23,1,4.37,3,9.5,46.08080628761555,18.579341453614433,3,4-3 Base,4,1,3.7,0,0,Very Long (>3.0s)
35,4.23,0,1.33,2,8.8,14.674938889301812,-4.719794377973724,3,Dime,4,1,3.6,0,0,Very Long (>3.0s)
36,3.98,1,0.32,2,9.0,29.593620910002407,6.108464558758292,1,Nickel,4,0,0.0,0,0,Very Long (>3.0s)
37,1.0,0,1.58,3,19.0,41.20471616212082,23.92903508064368,2,Nickel,5,1,2.2,0,0,Quick (<2.0s)
38,1.62,0,4.24,3,8.9,72.43636204979934,-16.771488774994346,4,3-4 Base,4,0,0.0,0,0,Quick (<2.0s)
39,1.4,0,1.3,3,11.9,11.568444325785578,-10.192841150098698,1,Nickel,5,0,0.0,0,0,Quick (<2.0s)
40,1.8,0,4.96,3,5.5,64.35922955833756,5.640910993814007,3,Dime,4,1,5.3,0,0,Quick (<2.0s)
41,3.69,1,1.71,2,28.8,69.44122768395593,21.724386215588282,2,3-4 Base,6,0,0.0,0,0,Very Long (>3.0s)
42,5.13,0,3.16,2,6.6,63.85292329331763,-7.112168334479686,3,Blitz,4,1,12.0,0,0,Very Long (>3.0s)
43,2.72,1,2.13,3,8.6,73.46026743508,24.357318594418892,3,3-4 Base,3,1,4.9,0,0,Extended (2.5-3.0s)
44,1.21,0,4.78,4,16.0,21.035175442055447,1.3195614739624602,3,4-3 Base,4,0,0.0,0,0,Quick (<2.0s)
45,2.03,0,8.02,1,21.0,57.83930195567336,-19.6725566380081,4,Nickel,6,0,0.0,0,0,Normal (2.0-2.5s)
46,5.77,0,1.09,1,9.2,89.70304524834918,15.904816260728582,2,Dime,5,0,0.0,0,0,Very Long (>3.0s)
47,2.23,0,2.02,4,14.5,59.970584282408396,-4.636238546099987,3,Blitz,3,1,5.9,0,0,Normal (2.0-2.5s)
48,1.64,1,4.37,1,4.2,60.020271225765775,4.485252785920395,1,Dime,4,0,0.0,0,0,Quick (<2.0s)
49,1.75,0,2.19,3,10.4,71.2795677901942,-16.591696875332712,4,3-4 Base,6,1,2.6,0,0,Quick (<2.0s)
50,2.71,1,0.16,2,14.4,34.98838089132731,-7.532515846590416,2,Blitz,3,0,0.0,0,0,Extended (2.5-3.0s)
51,1.03,1,1.32,1,23.0,68.04283111893865,-14.968719232406782,4,Blitz,4,0,0.0,0,0,Quick (<2.0s)
52,1.37,0,2.18,1,2.7,87.46104499818935,-16.029935627107097,2,3-4 Base,5,0,0.0,0,0,Quick (<2.0s)
53,3.94,0,5.81,1,3.6,5.9805925722808695,0.9803959795341746,1,Nickel,5,1,4.6,0,0,Very Long (>3.0s)
54,2.66,1,1.92,1,1.8,83.31017369979789,5.667774688155443,1,Nickel,5,1,10.5,0,0,Extended (2.5-3.0s)
55,2.24,1,0.68,2,3.0,24.67564981329732,-5.467581480120538,4,Nickel,6,0,0.0,0,0,Normal (2.0-2.5s)
56,4.07,1,2.22,3,19.8,46.03309463303377,-14.371537898112098,2,Blitz,3,0,0.0,0,0,Very Long (>3.0s)
57,1.14,0,5.37,4,5.4,81.71130208573742,-12.76105673706229,1,4-3 Base,4,1,3.0,0,0,Quick (<2.0s)
58,1.6,1,0.92,2,9.0,79.15209147109661,3.7162963803304057,1,Nickel,5,1,-0.0,0,0,Quick (<2.0s)
59,2.6,0,1.05,2,3.7,85.27347303134503,1.1069057054688558,2,3-4 Base,5,1,4.9,0,0,Extended (2.5-3.0s)
60,2.53,1,0.94,2,5.9,89.63751133692735,3.880746732863844,1,Nickel,5,0,0.0,0,0,Extended (2.5-3.0s)
61,0.53,1,0.38,2,27.0,45.24412610945827,15.584052226061688,3,Dime,6,0,0.0,0,0,Quick (<2.0s)
62,1.48,0,1.85,2,11.0,64.07274297209062,5.753495471812061,1,3-4 Base,4,0,0.0,0,0,Quick (<2.0s)
63,1.83,0,1.66,1,12.9,40.1430596473496,4.090293980124951,3,Nickel,3,1,10.1,0,0,Quick (<2.0s)
64,2.81,0,0.19,1,7.8,36.56450457429492,23.687164651947505,1,Blitz,4,0,0.0,0,0,Extended (2.5-3.0s)
65,2.53,0,0.74,1,18.3,43.84358695379025,-2.747844358000674,2,Dime,5,1,6.6,0,0,Extended (2.5-3.0s)
66,1.97,1,2.07,1,17.9,71.87685213044084,23.836753807382024,3,Nickel,4,0,0.0,0,0,Quick (<2.0s)
67,0.27,0,3.1,3,7.1,50.12966724273976,14.238836901560672,1,3-4 Base,5,1,4.5,0,0,Quick (<2.0s)
68,2.04,0,3.82,1,8.6,78.26537070035079,-2.9792540895699364,2,Nickel,4,1,3.8,0,0,Normal (2.0-2.5s)
69,2.18,0,3.31,3,20.3,72.06966294765402,8.04838841171484,2,Dime,3,0,0.0,0,0,Normal (2.0-2.5s)
70,9.12,1,1.75,4,8.9,6.8430615011959395,-2.152008608183487,1,Dime,4,0,0.0,0,0,Very Long (>3.0s)
71,1.79,0,0.3,4,6.5,61.721434139554546,-14.3639540914514,3,3-4 Base,5,1,1.9,0,0,Quick (<2.0s)
72,2.61,0,1.41,4,6.9,44.291401097773196,-0.08039255121611723,3,Dime,4,0,0.0,0,0,Extended (2.5-3.0s)
73,4.53,0,0.03,1,5.9,46.096609023602745,-14.671263296585115,3,4-3 Base,5,1,4.6,0,0,Very Long (>3.0s)
74,3.55,1,2.08,2,8.9,78.65357484829052,2.3296475174492035,1,4-3 Base,4,0,0.0,0,0,Very Long (>3.0s)
75,5.27,1,0.89,1,6.0,54.28471874762091,8.004798391920517,2,Nickel,4,1,11.6,0,0,Very Long (>3.0s)
76,0.54,0,0.09,3,8.8,84.70596411130524,-2.169064947944616,1,3-4 Base,3,1,3.3,0,0,Quick (<2.0s)
77,0.86,0,2.43,3,4.7,69.15250331525213,2.3095745105544836,3,4-3 Base,5,1,7.2,0,0,Quick (<2.0s)
78,1.3,0,5.33,3,11.2,54.75560078876475,2.14391648286885,2,Dime,4,1,7.0,0,0,Quick (<2.0s)
79,0.45,0,0.24,2,12.4,72.90841785359933,8.443495872916003,2,Nickel,6,0,0.0,0,0,Quick (<2.0s)
80,2.2,0,2.6,3,13.9,8.451414583286656,0.8947552186419195,4,Dime,4,1,3.9,0,0,Normal (2.0-2.5s)
81,0.92,1,1.19,1,12.6,7.437528934538697,-3.1472630753852053,1,Dime,4,0,0.0,0,0,Quick (<2.0s)
82,5.72,0,0.78,1,17.3,12.501439422876686,7.989403953983882,4,Dime,4,1,7.4,0,0,Very Long (>3.0s)
83,1.06,1,0.78,3,9.4,44.38087926324284,1.5855818572933547,1,Nickel,4,0,0.0,0,0,Quick (<2.0s)
84,1.61,0,1.19,2,8.8,26.19051310642488,-21.355568285323294,4,3-4 Base,4,1,7.9,0,0,Quick (<2.0s)
85,3.69,1,1.18,4,5.3,93.58351649742062,-3.5028653939402,2,Nickel,4,1,9.9,0,0,Very Long (>3.0s)
86,0.66,1,1.68,1,14.9,53.806112511023024,-5.171712769561331,4,3-4 Base,5,0,0.0,0,0,Quick (<2.0s)
87,0.42,0,0.7,3,5.6,64.61741714730427,1.4745924039754665,1,Dime,4,1,2.7,0,0,Quick (<2.0s)
88,2.4,0,0.87,2,1.6,30.0938122622027,0.39990647464107376,2,Nickel,4,1,11.3,0,0,Normal (2.0-2.5s)
89,2.53,0,2.81,3,5.1,33.961721772884786,-19.503589928936268,2,3-4 Base,3,1,8.2,0,0,Extended (2.5-3.0s)
90,3.62,0,0.63,3,15.7,35.19157227270403,-14.917216884536304,4,Nickel,4,0,0.0,0,0,Very Long (>3.0s)
91,3.04,0,2.2,4,13.6,67.88621346352706,-9.528604968058533,4,Blitz,4,0,0.0,0,0,Very Long (>3.0s)
92,2.6,0,1.25,1,10.3,47.63355869203777,0.6445508322799433,1,4-3 Base,6,0,0.0,0,0,Extended (2.5-3.0s)
93,1.17,1,1.01,4,34.3,51.591528727706695,10.738418279516019,3,4-3 Base,5,0,0.0,0,0,Quick (<2.0s)
94,2.48,0,6.65,1,11.2,58.28026839434108,-16.03643730872595,3,Dime,5,0,0.0,0,0,Normal (2.0-2.5s)
95,2.59,1,0.39,1,4.4,74.19304906143952,-6.721149512375412,1,4-3 Base,4,0,0.0,0,0,Extended (2.5-3.0s)
96,1.13,0,5.61,2,4.1,13.133277366123032,-0.4847417771047321,1,4-3 Base,4,1,13.5,0,0,Quick (<2.0s)
97,6.78,1,3.48,3,12.5,74.91865209969394,-9.313989990059522,4,Nickel,4,0,0.0,0,0,Very Long (>3.0s)
98,2.95,0,0.91,2,22.4,55.69115619876619,0.8738031255296188,2,Nickel,4,1,3.3,0,0,Extended (2.5-3.0s)
99,0.87,1,3.56,3,8.7,65.21859003697315,6.4027494851340165,1,Nickel,4,1,0.3,0,0,Quick (<2.0s)
100,3.63,0,0.01,3,11.5,34.47965883566858,-7.568111256825974,1,Nickel,4,1,6.6,0,0,Very Long (>3.0s)
101,4.06,0,0.82,1,11.9,41.844815313480424,3.275834721774964,2,Blitz,5,0,0.0,0,0,Very Long (>3.0s)
102,2.82,0,0.64,4,35.1,25.804923768852824,-1.1451920329155671,3,Dime,6,0,0.0,0,0,Extended (2.5-3.0s)
103,1.71,0,2.45,1,16.6,93.13699976756648,-11.49101952596802,2,Blitz,4,1,3.1,0,0,Quick (<2.0s)
104,1.09,0,3.15,3,19.5,49.7302675259285,-1.408816225066961,2,Nickel,5,0,0.0,0,0,Quick (<2.0s)
105,1.96,0,2.42,1,4.2,94.6469224216938,4.566659726899563,1,4-3 Base,5,0,0.0,0,0,Quick (<2.0s)
106,2.68,0,1.96,2,5.6,49.08073802551397,14.137430047628436,2,Blitz,4,1,7.1,0,0,Extended (2.5-3.0s)
107,2.1,1,3.75,2,5.2,24.77761379456606,16.442437428975857,1,4-3 Base,6,0,0.0,0,0,Normal (2.0-2.5s)
108,5.42,0,3.33,1,7.3,50.670715706317104,-5.676847280756565,4,Dime,4,0,0.0,0,0,Very Long (>3.0s)
109,3.26,0,0.89,2,9.2,8.563601461917003,-6.279460814439954,1,4-3 Base,5,1,14.1,0,0,Very Long (>3.0s)
110,0.98,1,1.0,1,10.9,86.42928212797561,0.40390126778544694,4,Dime,4,0,0.0,0,0,Quick (<2.0s)
111,0.79,0,3.18,1,8.2,78.6695226074997,-5.426969874043753,2,Blitz,4,1,5.1,0,0,Quick (<2.0s)
112,2.96,0,1.67,1,5.1,70.32384686248562,12.13032502217007,2,Nickel,4,1,7.7,0,0,Extended (2.5-3.0s)
113,1.74,0,1.78,2,3.5,59.884404389821405,1.0069073885990747,2,3-4 Base,5,0,0.0,0,0,Quick (<2.0s)
114,3.46,1,1.99,3,11.7,57.18508103033268,0.5524351057590904,3,3-4 Base,4,0,0.0,0,0,Very Long (>3.0s)
115,2.94,1,0.17,2,14.2,94.70553926715166,6.433077805035644,4,Nickel,3,1,1.0,0,0,Extended (2.5-3.0s)
116,1.97,1,0.85,3,7.5,30.019769061794413,1.59836176173211,2,3-4 Base,4,1,6.7,0,0,Quick (<2.0s)
117,0.99,0,2.63,2,1.9,75.17159288290202,3.0524464805413345,1,Dime,3,0,0.0,0,0,Quick (<2.0s)
118,0.47,1,0.84,3,16.5,57.32642931922917,2.6319097456974587,3,Nickel,5,0,0.0,0,0,Quick (<2.0s)
119,2.45,0,1.39,3,7.3,92.82924893829967,-1.4463799478756567,1,Nickel,5,0,0.0,0,0,Normal (2.0-2.5s)
120,0.65,0,2.62,2,2.6,79.50228649684271,-9.024383611615058,3,Nickel,5,1,2.1,0,0,Quick (<2.0s)
121,0.96,0,3.91,3,8.6,94.86726016906334,17.59022015203721,1,Nickel,5,1,18.6,0,0,Quick (<2.0s)
122,2.34,0,4.29,1,17.3,57.94924950162017,-9.057337111173013,3,4-3 Base,6,0,0.0,0,0,Normal (2.0-2.5s)
123,2.18,0,4.48,3,6.3,23.408956179044154,16.54230518279952,3,Dime,5,0,0.0,0,0,Normal (2.0-2.5s)
124,0.73,0,1.52,3,0.6,50.33183321252604,3.4144262276440296,1,Blitz,6,0,0.0,0,0,Quick (<2.0s)
125,4.37,0,1.38,1,7.0,69.00000206455171,-6.015839795487117,3,3-4 Base,4,1,2.9,0,0,Very Long (>3.0s)
126,4.29,0,0.46,3,4.9,74.69243475634293,5.548575935630103,2,3-4 Base,4,1,11.6,0,0,Very Long (>3.0s)
127,3.03,1,5.35,1,9.8,5.045899011434921,7.85916086903764,1,Dime,6,1,1.7,0,0,Very Long (>3.0s)
128,3.03,0,1.32,1,8.8,50.452437965206464,17.182016314186765,2,3-4 Base,5,1,2.2,0,0,Very Long (>3.0s)
129,3.03,1,5.25,1,5.9,26.17111219735819,-13.156447678204831,2,4-3 Base,5,0,0.0,0,0,Very Long (>3.0s)
130,4.03,0,2.25,3,5.6,83.74206499293095,-1.4000309873147185,1,Nickel,3,0,0.0,0,0,Very Long (>3.0s)
131,3.32,1,4.06,3,20.8,18.76148996452057,13.772098071488719,4,3-4 Base,5,0,0.0,0,0,Very Long (>3.0s)
132,1.07,0,1.62,3,12.5,64.98106246173501,7.465528516535793,3,3-4 Base,5,1,4.3,0,0,Quick (<2.0s)
133,1.72,0,2.84,1,12.2,28.945597129243236,4.8601750716582535,1,Blitz,4,1,8.7,0,0,Quick (<2.0s)
134,8.5,0,4.17,2,15.9,37.088792889284505,14.784876511486335,4,3-4 Base,3,0,0.0,0,0,Very Long (>3.0s)
135,0.29,0,1.06,3,7.2,89.65033346811603,-1.7994065538414408,2,Blitz,4,0,0.0,0,0,Quick (<2.0s)
136,1.41,1,4.49,1,24.5,26.640331286727154,-23.980348104529998,3,3-4 Base,6,0,0.0,0,0,Quick (<2.0s)
137,4.38,0,0.54,2,11.0,13.550248564063759,-3.665078007748294,2,Dime,5,1,0.2,0,0,Very Long (>3.0s)
138,1.13,0,6.52,1,9.5,11.235641129980324,20.11756445879286,3,Nickel,6,1,6.2,0,0,Quick (<2.0s)
139,3.38,1,2.0,1,10.9,50.415359908951594,2.984759569068916,3,4-3 Base,4,1,4.6,0,0,Very Long (>3.0s)
140,2.16,1,0.86,2,6.9,62.754033405585915,-8.424305054311237,3,Dime,6,0,0.0,0,0,Normal (2.0-2.5s)
141,1.2,0,3.42,3,5.1,34.45642792137985,13.341294680772101,1,Blitz,4,0,0.0,0,0,Quick (<2.0s)
142,0.23,0,2.34,1,18.4,67.12337676137727,8.448629037751898,2,3-4 Base,4,1,16.0,0,0,Quick (<2.0s)
143,2.4,0,0.18,1,3.2,10.493034671591403,1.4701175086615677,2,Dime,4,1,6.7,0,0,Normal (2.0-2.5s)
144,1.05,0,1.19,1,3.5,82.16011804305892,5.851320392637632,1,Nickel,6,0,0.0,0,0,Quick (<2.0s)
145,1.9,0,0.58,1,8.0,78.49104887653141,-10.172549002237247,2,Dime,4,1,2.9,0,0,Quick (<2.0s)
146,3.01,1,0.64,1,4.3,93.69466442528771,-3.620983942919553,3,Dime,4,1,3.2,0,0,Very Long (>3.0s)
147,3.82,0,0.61,2,1.9,89.28544828116608,-0.6493122827130599,4,4-3 Base,3,1,4.9,0,0,Very Long (>3.0s)
148,1.41,0,2.73,3,3.4,37.05774475270353,10.991722973503169,2,3-4 Base,4,1,5.3,0,0,Quick (<2.0s)
149,1.2,0,3.64,2,4.4,40.93478456140195,-5.487467773601188,1,Nickel,5,1,2.3,0,0,Quick (<2.0s)
150,0.64,1,0.78,3,11.3,72.13683627304336,-0.25749703749578456,4,Blitz,4,1,7.0,0,0,Quick (<2.0s)
151,3.94,1,7.68,3,7.5,17.067449475948486,14.409914934980286,4,Nickel,5,0,0.0,0,0,Very Long (>3.0s)
152,7.73,0,2.02,1,16.4,33.26132392203513,25.2432696755967,2,Nickel,6,0,0.0,0,0,Very Long (>3.0s)
153,4.23,1,3.44,1,3.2,15.668684327808345,-8.706387270186104,1,4-3 Base,4,1,2.3,0,0,Very Long (>3.0s)
154,4.87,0,1.45,3,3.7,45.939780416554825,1.3995758970452596,3,Dime,5,0,0.0,0,0,Very Long (>3.0s)
155,1.14,0,0.07,1,10.1,54.68038518967859,-15.079529142781542,4,Nickel,4,1,13.2,0,0,Quick (<2.0s)
156,2.88,0,2.51,1,4.9,24.004442296647717,-0.1450092881182079,1,Dime,6,1,12.7,0,0,Extended (2.5-3.0s)
157,3.6,0,6.02,1,6.7,7.396851822269451,-2.9010445031525918,3,Blitz,3,1,6.4,0,0,Very Long (>3.0s)
158,0.83,0,0.92,2,3.4,69.74202485754708,12.510329684557554,3,4-3 Base,5,0,0.0,0,0,Quick (<2.0s)
159,5.98,1,0.46,2,3.2,6.800464798355166,-11.729056357417235,2,3-4 Base,5,1,4.6,0,0,Very Long (>3.0s)
160,0.52,0,3.58,4,4.8,92.60623480355206,-13.099830361559428,3,Blitz,4,1,11.1,0,0,Quick (<2.0s)
161,5.38,1,2.33,3,17.0,24.94465310681559,15.209347285857213,2,3-4 Base,4,1,7.5,0,0,Very Long (>3.0s)
162,0.52,0,4.51,2,2.5,64.75100829046619,-6.331322097304,3,Dime,4,1,3.7,0,0,Quick (<2.0s)
163,0.87,0,1.76,2,18.4,44.127655361599025,1.9743114156823625,3,Dime,3,1,8.2,0,0,Quick (<2.0s)
164,2.92,0,3.11,1,15.9,10.370647430339648,2.950445672486496,1,Dime,4,1,2.4,0,0,Extended (2.5-3.0s)
165,2.2,0,1.15,1,5.8,47.49652459710207,-7.873156222315934,3,3-4 Base,6,1,2.3,0,0,Normal (2.0-2.5s)
166,1.52,0,0.51,1,8.7,51.50845708671197,-7.86250951185374,3,3-4 Base,4,1,1.2,0,0,Quick (<2.0s)
167,5.83,0,3.12,1,10.7,81.92148872835816,11.26909684703219,4,Dime,4,0,0.0,0,0,Very Long (>3.0s)
168,0.66,0,3.62,1,13.7,70.91141626831082,6.7707208884533,2,3-4 Base,3,0,0.0,0,0,Quick (<2.0s)
169,1.85,0,0.94,1,3.7,12.137222727804772,-0.15687459758462027,1,Dime,4,0,0.0,0,0,Quick (<2.0s)
170,3.18,1,5.62,1,14.8,23.824641508903856,-1.36791824824244,4,Nickel,4,0,0.0,0,0,Very Long (>3.0s)
171,2.57,0,5.73,4,9.3,33.069891579345295,3.166108848522933,3,Nickel,6,1,7.3,0,0,Extended (2.5-3.0s)
172,1.23,0,0.62,2,4.0,15.476691781833752,3.8219921192012234,4,Nickel,5,0,0.0,0,0,Quick (<2.0s)
173,1.27,0,0.65,4,9.3,46.12091638230415,12.611455222174035,1,Blitz,4,1,5.7,0,0,Quick (<2.0s)
174,3.78,1,0.69,2,3.9,93.5878271776282,-0.20856111561143437,2,Nickel,4,0,0.0,0,0,Very Long (>3.0s)
175,3.9,1,1.55,2,8.5,51.31515121139854,4.429807482001637,1,Nickel,4,0,0.0,0,0,Very Long (>3.0s)
176,2.62,0,1.21,1,6.1,71.76939514908524,7.181787951786809,4,Blitz,5,0,0.0,0,0,Extended (2.5-3.0s)
177,1.01,0,0.37,1,9.7,66.46440179294115,7.357751900383704,4,Dime,5,0,0.0,0,0,Quick (<2.0s)
178,1.3,0,0.71,1,10.1,81.49202915829241,14.497195853612283,3,Blitz,5,0,0.0,0,0,Quick (<2.0s)
179,2.05,1,0.07,4,20.1,24.41511414190485,-0.12588778647906937,1,4-3 Base,3,0,0.0,0,0,Normal (2.0-2.5s)
180,2.28,1,0.11,4,13.2,72.84436355237254,-5.658672319748156,1,Dime,6,1,8.1,0,0,Normal (2.0-2.5s)
181,3.1,0,0.28,1,11.6,84.32197162751746,-3.579630232291837,3,Nickel,3,1,3.6,0,0,Very Long (>3.0s)
182,1.77,0,7.37,1,1.8,20.435884068221846,6.40826684094971,3,Dime,4,0,0.0,0,0,Quick (<2.0s)
183,3.72,0,6.72,2,16.6,36.212199780920336,-1.0810134206353603,3,Blitz,6,0,0.0,0,0,Very Long (>3.0s)
184,3.69,1,3.27,1,6.3,92.30915878984054,22.867976224938506,2,3-4 Base,4,1,4.0,0,0,Very Long (>3.0s)
185,4.98,0,0.95,2,3.4,75.27090613818132,0.12588933245220357,2,Nickel,3,1,5.7,0,0,Very Long (>3.0s)
186,2.12,0,0.27,1,30.7,30.433174928377912,-9.549533108150229,1,Dime,4,1,0.5,0,0,Normal (2.0-2.5s)
187,2.65,0,1.73,2,4.9,55.75475926800382,3.2270166731297922,3,4-3 Base,4,0,0.0,0,0,Extended (2.5-3.0s)
188,1.88,1,2.57,1,21.5,41.38935105645309,15.388122127560331,2,Dime,3,1,3.6,0,0,Quick (<2.0s)
189,1.02,1,0.79,2,10.8,49.096865869441686,-8.157598097246371,4,4-3 Base,4,0,0.0,0,0,Quick (<2.0s)
190,7.61,1,2.45,1,12.5,36.964957225163765,-8.446214651010399,3,Blitz,4,1,5.8,0,0,Very Long (>3.0s)
191,4.57,0,0.45,2,8.6,30.139791667730652,-1.868153704650658,2,3-4 Base,5,0,0.0,0,0,Very Long (>3.0s)
192,3.64,1,0.97,4,4.1,65.72867372522768,-6.459105588325199,2,Nickel,4,1,2.9,0,0,Very Long (>3.0s)
193,2.06,0,1.36,1,14.3,75.06876335775058,-13.502180969120868,4,4-3 Base,5,1,6.2,0,0,Normal (2.0-2.5s)
194,0.94,0,6.87,3,10.3,83.65614104726103,-15.408208382396431,1,3-4 Base,4,1,11.8,0,0,Quick (<2.0s)
195,4.09,0,0.7,3,10.2,18.979697058636923,2.324286038002629,2,Nickel,4,1,15.0,0,0,Very Long (>3.0s)
196,1.85,1,2.56,4,9.1,79.05699712807166,7.150431070145676,4,Nickel,4,0,0.0,0,0,Quick (<2.0s)
197,2.82,0,0.58,3,7.1,27.93207420293572,-7.011642221636102,3,4-3 Base,5,1,3.3,0,0,Extended (2.5-3.0s)
198,1.3,1,0.49,3,14.3,43.460275091904556,-0.7051869299831703,3,Blitz,5,1,0.1,0,0,Quick (<2.0s)
199,2.5,1,0.79,3,12.3,86.12993172643219,1.8496192708549484,1,4-3 Base,3,1,1.5,0,0,Normal (2.0-2.5s)
200,1.37,0,1.79,1,15.4,45.90532408843418,-11.052340683795762,4,Dime,5,1,11.7,0,0,Quick (<2.0s)
201,1.41,0,6.18,2,7.3,22.735718063988458,8.58860697014663,1,Nickel,5,1,7.3,0,0,Quick (<2.0s)
202,2.48,0,0.93,4,6.9,19.3881789713406,2.119003354175687,1,Nickel,3,0,0.0,0,0,Normal (2.0-2.5s)
203,0.51,0,3.65,3,5.6,47.56853899869204,5.244765096507347,1,3-4 Base,5,1,4.5,0,0,Quick (<2.0s)
204,0.54,0,7.12,4,9.3,73.64051815788987,6.799686647978321,1,Nickel,4,1,0.6,0,0,Quick (<2.0s)
205,1.13,0,2.2,3,1.9,94.74846295768711,24.257629980549183,4,Nickel,3,1,6.1,0,0,Quick (<2.0s)
206,1.76,1,4.19,3,40.6,75.86677655878117,-10.245980464957775,3,3-4 Base,4,0,0.0,0,0,Quick (<2.0s)
207,3.8,1,0.74,3,5.2,83.93107630485682,-8.927682428617922,3,3-4 Base,6,0,0.0,0,0,Very Long (>3.0s)
208,1.84,0,2.5,3,19.6,72.30491248413992,16.829248645598714,4,4-3 Base,4,1,2.3,0,0,Quick (<2.0s)
209,2.05,0,3.07,2,6.2,85.58915906804954,6.522280816096689,1,4-3 Base,6,0,0.0,0,0,Normal (2.0-2.5s)
